Region,Outlet Name,Location
Nairobi,Naivas Muindimbingu,Muindimbingu
Nairobi,Eastmatt Tom Mboya,Mboya
Nairobi,Quickmart Tom mboya,Outer Ring Road
Nairobi,Carrefour Rongai,Rongai
Nairobi,Naivas Maiyan,Maiyan
Nairobi,Quickmart Kiserian,Kiserian
Nairobi,Quickmart Main,Main
Nairobi,Quickmart Express Rongai,Rongai
Nairobi,Naivas Langata,Langata
Nairobi,Quickmart Tmall,Tmall
Nairobi,Cleanshelf Langata,Langata
Nairobi,Naivas Medlink,Langata
Nairobi,Carrefour Galleria,Galleria
Nairobi,Chandarana The well,Outer Ring Road
Nairobi,Naivas Home ground,Outer Ring Road
Nairobi,Naivas Ngong 2,Outer Ring Road
Nairobi,Cleanshelf Ngong,Ngong
Nairobi,Magunas Ngong,Ngong
Nairobi,Mathai Ngong,Ngong
Nairobi,Quickmatt Milele,Milele
Nairobi,Skymart Matasia,Matasia
Nairobi,Naivas Tilisi,Tilisi
Nairobi,Self ridges,Kikuyu
Nairobi,Carrefour Sarit,Sarit
Nairobi,Carrefour Spring Valley,Kabete
Nairobi,Chandarana ABC,Westlands
Nairobi,Chandarana Azlea,Azalea
Nairobi,Naivas Prestige,Prestige
Nairobi,Chandarana yaya,yaya
Nairobi,Naivas Kilimani,Kilimani
Nairobi,Naivas Wood Avenue,Avenue
Nairobi,Safeways Hurlingham,Hurlingham
Nairobi,Carrefour Valley Arcade,Valley Arcade
Nairobi,Naivas Lavington,Lavington
Nairobi,Cleanshelf Lavington,Lavington
Nairobi,Chandarana Lavington,Lavington
Nairobi,Naivas Kangemi,Kangemi
Nairobi,Naivas Mountain View,Waiyaki way
Nairobi,Naivas Riruta,Riruta
Nairobi,Quickmart Waithaka,Waithaka
Nairobi,Skymart Kawangware,Kawangware
Nairobi,Naivas Ciata,Ciata
Nairobi,Quickmart Kiambu road,Outer Ring Road
Nairobi,Chandarana Ridgeways,Ridgeways
Nairobi,Chandarana Mobil,
Nairobi,Carrefour GTC,
Nairobi,Chandarana Riverside,Riverside
Nairobi,Chandarana Ngara,Ngara
Nairobi,Cleanshelf Chiromo,Chiromo
Nairobi,Quickmart Kileleshwa,Kileleshwa
Nairobi,Carrefour Westgate,Westgate
Nairobi,Carrefour Rhapta,Rhapta Road
Nairobi,Chandarana Rhapta Road,Rhapta Road
Nairobi,Quickmart Waiyaki Way,Waiyaki way
Nairobi,Naivas Uthiru,Uthiru
Nairobi,Leester Kinoo,Kinoo
Nairobi,Carrefour Rhunda,Rhunda
Nairobi,Naivas Thindigwa,Thindigwa
Nairobi,Naivas Kiambu,Kiambu
Nairobi,Cleanshelf Kiambu,Kiambu
Nairobi,Chandarana Redhill,Redhill
Nairobi,Magunas Gigiri,Gigiri
Nairobi,Carrefour Village Market,Limuru Rd
Nairobi,Quickmart Ruaka,Ruaka
Nairobi,Chandarana Thigiri,Thigiri
Nairobi,Magunas Ndenderu,Ndenderu
Nairobi,Carrefour Two Rivers,Limuru Rd
Nairobi,Cleanshelf Ruaka,Ruaka
Nairobi,Chandarana Rosslyn,Westlands
